metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1716504065,1.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_duration,1716504065,94.696400,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_blocked,1716504065,5.513300,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_connecting,1716504065,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_tls_handshaking,1716504065,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_sending,1716504065,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_waiting,1716504065,94.134200,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_receiving,1716504065,0.562200,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_failed,1716504065,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
vus,1716504066,1.000000,,,,,,,,,,,,,,,,
vus_max,1716504066,1.000000,,,,,,,,,,,,,,,,
data_sent,1716504066,85.000000,,,,,,,,,default,,,,,,,
data_received,1716504066,126.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716504066,1103.606200,,,,,,,,,default,,,,,,,
iterations,1716504066,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716504066,1.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_duration,1716504066,7.432100,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_blocked,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_connecting,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_tls_handshaking,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_sending,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_waiting,1716504066,7.432100,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_receiving,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_failed,1716504066,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
vus,1716504067,1.000000,,,,,,,,,,,,,,,,
vus_max,1716504067,1.000000,,,,,,,,,,,,,,,,
data_sent,1716504067,85.000000,,,,,,,,,default,,,,,,,
data_received,1716504067,126.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716504067,1021.880200,,,,,,,,,default,,,,,,,
iterations,1716504067,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716504067,1.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_duration,1716504067,11.109600,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_blocked,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_connecting,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_tls_handshaking,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_sending,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_waiting,1716504067,11.109600,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_receiving,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_failed,1716504067,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
vus,1716504068,1.000000,,,,,,,,,,,,,,,,
vus_max,1716504068,1.000000,,,,,,,,,,,,,,,,
data_sent,1716504068,85.000000,,,,,,,,,default,,,,,,,
data_received,1716504068,126.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716504068,1016.355200,,,,,,,,,default,,,,,,,
iterations,1716504068,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716504068,1.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_duration,1716504068,10.531600,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_blocked,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_connecting,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_tls_handshaking,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_sending,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_waiting,1716504068,10.531600,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_receiving,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_failed,1716504068,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
vus,1716504069,1.000000,,,,,,,,,,,,,,,,
vus_max,1716504069,1.000000,,,,,,,,,,,,,,,,
data_sent,1716504069,85.000000,,,,,,,,,default,,,,,,,
data_received,1716504069,126.000000,,,,,,,,,default,,,,,,,
iteration_duration,1716504069,1020.398100,,,,,,,,,default,,,,,,,
iterations,1716504069,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1716504069,1.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_duration,1716504069,7.832400,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_blocked,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_connecting,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_tls_handshaking,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_sending,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_waiting,1716504069,7.832400,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_receiving,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
http_req_failed,1716504069,0.000000,,,,true,,GET,http://localhost:8080/posts,HTTP/1.1,default,,200,,,http://localhost:8080/posts,,
vus,1716504070,1.000000,,,,,,,,,,,,,,,,
vus_max,1716504070,1.000000,,,,,,,,,,,,,,,,
